ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
1.0,0.0,7.313656925324352E-4,-0.00153712,-0.00202408,-0.00470084,29.8183,43.386,84.3097,200.0,88.5689,44.3415,30.1854,23.4201,19.6191,17.3327,15.9578,15.2133,14.9698,0.00470084,0.00202408,-0.00153712,-7.313656925324352E-4,0.0,1.0
